description_1,description_2,similarity_score
a stack of five crimson cubes,a stack of crimson cubes,0.9395088
azure waves crashing on a sandy beach,Azure waves crashing on a sandy shore,0.9660549
azure waves crashing on a sandy beach,azure waves crashing on a sandy shore,0.9660549
teal and orange concentric circles,teal and orange circles,0.92726827
magenta hexagons forming a honeycomb pattern,magenta hexagons in a honeycomb pattern,0.98026025
a bright pink flamingo standing in shallow blue water,a pink flamingo standing in shallow water,0.95454425
a bright pink flamingo standing in shallow blue water,a pink flamingo standing on one leg in shallow water,0.9084155
a bright pink flamingo standing in shallow blue water,a bright pink flamingo standing in shallow water,0.96732295
a silver robot with glowing green eyes,A silver robot with glowing eyes,0.95533264
a silver robot with glowing green eyes,a silver robot with glowing blue eyes,0.92774487
a silver robot with glowing green eyes,A silver robot with glowing blue eyes.,0.9213468
a silver robot with glowing green eyes,A silver robot with glowing blue eyes,0.92774487
a silver robot with glowing green eyes,a silver robot with glowing red eyes,0.92759705
a silver robot with glowing green eyes,a silver robot with glowing eyes,0.95533264
a wooden table with a single red apple on it,a bright red apple on a wooden table,0.9224547
a wooden table with a single red apple on it,A red apple on a wooden table,0.94651115
a wooden table with a single red apple on it,a red apple on a wooden table,0.94651115
a wooden table with a single red apple on it,A vibrant red apple on a wooden table,0.9136473
a wooden table with a single red apple on it,a brown wooden table with a single red apple,0.95886636
a wooden table with a single red apple on it,a brown wooden table with a red apple,0.9353574
a wooden table with a single red apple on it,a brown table with a single red apple on top,0.9185771
a wooden table with a single red apple on it,A bright red apple on a wooden table,0.9224547
a wooden table with a single red apple on it,a wooden table with a single red apple,0.99039173
a wooden table with a single red apple on it,a single red apple on a white table,0.9104746
a wooden table with a single red apple on it,a single red apple on a wooden table,0.970343
a wooden table with a single red apple on it,a wooden table with a red apple,0.96754664
a field of tall golden wheat under a sunny sky,a field of golden wheat under a clear sky,0.9315258
a field of tall golden wheat under a sunny sky,"a field of tall, golden wheat",0.9050826
a field of tall golden wheat under a sunny sky,a field of golden wheat under a bright sun,0.92055285
a thick blue wool sweater,a blue wool sweater,0.94733727
a thick blue wool sweater,a navy blue wool sweater,0.90103364
a black cat sitting on a white fence,a black cat sitting on a fence,0.95779634
a black cat sitting on a white fence,a black cat sitting on a brown fence,0.92647386
a black cat sitting on a white fence,A black cat on a white fence,0.936883
a black cat sitting on a white fence,a black cat on a white fence,0.936883
a brown leather wallet,a textured brown leather wallet,0.94812953
a brown leather wallet,A brown leather wallet,1.0000002
a brown leather wallet,brown leather wallet,0.9688555
a brown leather wallet,a simple brown leather wallet,0.9644964
a blue ceramic vase with white flowers,a blue ceramic vase with yellow flowers,0.9440454
a blue ceramic vase with white flowers,A blue ceramic vase with white flowers,1.0000004
a blue ceramic vase with white flowers,a white ceramic vase with blue patterns,0.912343
a blue ceramic vase with white flowers,Blue ceramic vase with a floral pattern,0.9051481
a blue ceramic vase with white flowers,a blue ceramic vase with a floral pattern,0.9194239
a blue ceramic vase with white flowers,a blue and white ceramic vase,0.9358499
a blue ceramic vase with white flowers,a white and blue ceramic vase,0.928922
a yellow sun in a clear blue sky,a bright yellow sun in a blue sky,0.9565153
a yellow sun in a clear blue sky,a yellow sun in a bright blue sky,0.9629048
a yellow sun in a clear blue sky,a bright yellow sun in a clear blue sky,0.98196006
a yellow sun in a clear blue sky,A bright yellow sun in a clear blue sky.,0.9701082
a yellow sun in a clear blue sky,A bright yellow sun in a clear blue sky,0.98196006
a yellow sun in a clear blue sky,a yellow sun in a clear sky,0.9690253
a yellow sun in a clear blue sky,a yellow sun on a blue sky,0.95970404
a yellow sun in a clear blue sky,A bright yellow sun shining in a blue sky.,0.90423673
