id,description,question,choices,answer
ec16af,A fractal tree with branches resembling lightning bolts against a sunset gradient sky,What shape do the tree branches resemble?,"['feathers', 'flowers', 'lightning bolts', 'waves']",lightning bolts
ec16af,A fractal tree with branches resembling lightning bolts against a sunset gradient sky,What kind of tree is depicted?,"['apple', 'fractal', 'oak', 'pine']",fractal
ec16af,A fractal tree with branches resembling lightning bolts against a sunset gradient sky,Is the sky a solid color?,"['no', 'yes']",no
ec16af,A fractal tree with branches resembling lightning bolts against a sunset gradient sky,What time of day is suggested by the sky?,"['dusk', 'midday', 'midnight', 'sunset']",sunset
440a1b,Interlocking gears made of polished obsidian and rough granite,What materials are the gears made of?,"['metal and wood', 'obsidian and granite', 'plastic and glass', 'rubber and stone']",obsidian and granite
440a1b,Interlocking gears made of polished obsidian and rough granite,Are the gears all the same material?,"['no', 'yes']",no
440a1b,Interlocking gears made of polished obsidian and rough granite,What shapes are depicted?,"['circles', 'gears', 'squares', 'triangles']",gears
440a1b,Interlocking gears made of polished obsidian and rough granite,Are the gears smooth or rough?,"['all rough', 'all smooth', 'mix of smooth and rough', 'neither']",mix of smooth and rough
c768ce,"A single, oversized dewdrop reflecting an entire meadow filled with wildflowers",What is reflecting the meadow?,"['a mirror', 'a pond', 'a dewdrop', 'a window']",a dewdrop
c768ce,"A single, oversized dewdrop reflecting an entire meadow filled with wildflowers",What does the dewdrop reflect?,"['a building', 'a forest', 'an entire meadow filled with wildflowers', 'the sky']",an entire meadow filled with wildflowers
c768ce,"A single, oversized dewdrop reflecting an entire meadow filled with wildflowers",How large is the dewdrop implied to be?,"['tiny', 'normal-sized', 'oversized', 'small']",oversized
c768ce,"A single, oversized dewdrop reflecting an entire meadow filled with wildflowers",What is filling the meadow?,"['rocks', 'trees', 'water', 'wildflowers']",wildflowers
d0668e,Hexagonal prisms floating in a nebula of swirling iridescent gas,What shape are the floating objects?,"['cubes', 'hexagonal prisms', 'spheres', 'triangles']",hexagonal prisms
