id,description,question,choices,answer
34b6bf,a shimmering golden orb surrounded by swirling silver mist,What color is the orb?,"['blue', 'golden', 'red', 'silver']",golden
34b6bf,a shimmering golden orb surrounded by swirling silver mist,Is there swirling mist present?,"['no', 'yes']",yes
34b6bf,a shimmering golden orb surrounded by swirling silver mist,What surrounds the orb?,"['fog', 'haze', 'smoke', 'mist']",mist
34b6bf,a shimmering golden orb surrounded by swirling silver mist,Is the orb triangular?,"['no', 'yes']",no
192c23,a stack of five crimson cubes,How many cubes are stacked?,"['three', 'four', 'five', 'six']",five
192c23,a stack of five crimson cubes,What shape are the objects?,"['circles', 'cubes', 'spheres', 'triangles']",cubes
192c23,a stack of five crimson cubes,Are the cubes green?,"['no', 'yes']",no
192c23,a stack of five crimson cubes,What color are the cubes?,"['blue', 'crimson', 'green', 'yellow']",crimson
cb9fc7,azure waves crashing on a sandy beach,What color are the waves?,"['azure', 'green', 'orange', 'purple']",azure
cb9fc7,azure waves crashing on a sandy beach,What type of geographical feature is depicted?,"['beach', 'forest', 'mountain', 'river']",beach
cb9fc7,azure waves crashing on a sandy beach,Is there a beach in the image?,"['no', 'yes']",yes
cb9fc7,azure waves crashing on a sandy beach,Are the waves depicted as calm?,"['no', 'yes']",no
0917e8,a tangled network of emerald lines,What color are the lines?,"['blue', 'emerald', 'red', 'white']",emerald
0917e8,a tangled network of emerald lines,Are the lines straight and orderly?,"['no', 'yes']",no
0917e8,a tangled network of emerald lines,Is the network tangled?,"['no', 'yes']",yes
0917e8,a tangled network of emerald lines,What form the network?,"['circles', 'lines', 'squares', 'triangles']",lines
79181d,burgundy velvet curtains,What material are the curtains made of?,"['cotton', 'silk', 'velvet', 'wool']",velvet
79181d,burgundy velvet curtains,What color are the curtains?,"['blue', 'burgundy', 'green', 'orange']",burgundy
79181d,burgundy velvet curtains,Are the curtains made of denim?,"['no', 'yes']",no
79181d,burgundy velvet curtains,Is the item of clothing a pair of pants?,"['no', 'yes']",no
dff885,a single obsidian sphere,What is the shape of the object?,"['cube', 'sphere', 'square', 'triangle']",sphere
dff885,a single obsidian sphere,What color is the sphere?,"['blue', 'green', 'obsidian', 'red']",obsidian
