id,description,question,choices,answer
787061,A shimmering gold vortex on a deep indigo background.,What color is the vortex?,"['blue', 'gold', 'green', 'red']",gold
787061,A shimmering gold vortex on a deep indigo background.,What shape is the object?,"['circle', 'square', 'triangle', 'vortex']",vortex
787061,A shimmering gold vortex on a deep indigo background.,What color is the background?,"['indigo', 'gold', 'silver', 'white']",indigo
787061,A shimmering gold vortex on a deep indigo background.,Is the vortex dull?,"['yes', 'no']",no
a72056,Emerald green liquid flowing through a network of silver pipes.,What color are the pipes?,"['black', 'green', 'silver', 'yellow']",silver
a72056,Emerald green liquid flowing through a network of silver pipes.,What is flowing through the pipes?,"['air', 'gas', 'liquid', 'steam']",liquid
a72056,Emerald green liquid flowing through a network of silver pipes.,What is the color of the liquid?,"['emerald green', 'purple', 'red', 'yellow']",emerald green
a72056,Emerald green liquid flowing through a network of silver pipes.,Are the pipes made of gold?,"['yes', 'no']",no
947df0,Ruby red cubes scattered across a field of lavender.,What shape are the red objects?,"['circles', 'cubes', 'pyramids', 'spheres']",cubes
947df0,Ruby red cubes scattered across a field of lavender.,What color is the field?,"['blue', 'green', 'lavender', 'red']",lavender
947df0,Ruby red cubes scattered across a field of lavender.,Are the cubes blue?,"['yes', 'no']",no
947df0,Ruby red cubes scattered across a field of lavender.,What color are the cubes?,"['green', 'lavender', 'red', 'white']",red
326ad0,Turquoise spheres suspended in a cloud of saffron smoke.,What shape are the turquoise objects?,"['cubes', 'pyramids', 'spheres', 'squares']",spheres
326ad0,Turquoise spheres suspended in a cloud of saffron smoke.,What color is the cloud?,"['blue', 'green', 'saffron', 'white']",saffron
326ad0,Turquoise spheres suspended in a cloud of saffron smoke.,Is the smoke clear?,"['yes', 'no']",no
326ad0,Turquoise spheres suspended in a cloud of saffron smoke.,What color are the spheres?,"['orange', 'red', 'turquoise', 'yellow']",turquoise
a369f9,A series of fuchsia lightning bolts striking a chartreuse ocean.,What color is the ocean?,"['blue', 'fuchsia', 'green', 'chartreuse']",chartreuse
a369f9,A series of fuchsia lightning bolts striking a chartreuse ocean.,What kind of weather is shown?,"['sunny', 'rainy', 'snowy', 'stormy']",stormy
a369f9,A series of fuchsia lightning bolts striking a chartreuse ocean.,What is striking the ocean?,"['asteroids', 'birds', 'lightning bolts', 'rain']",lightning bolts
a369f9,A series of fuchsia lightning bolts striking a chartreuse ocean.,What color are the lightning bolts?,"['blue', 'chartreuse', 'fuchsia', 'yellow']",fuchsia
b99fb7,A mosaic of cerulean and gold tesserae forming a geometric pattern.,Are the shapes random?,"['yes', 'no']",no
b99fb7,A mosaic of cerulean and gold tesserae forming a geometric pattern.,What is the pattern made of?,"['fabric', 'paint', 'paper', 'tesserae']",tesserae
