id,description,question,choices,answer
b4a465,a red sports car driving on a winding road,What color is the sports car?,"['blue', 'green', 'red', 'yellow']",red
b4a465,a red sports car driving on a winding road,What kind of vehicle is depicted?,"['bus', 'motorcycle', 'truck', 'sports car']",sports car
b4a465,a red sports car driving on a winding road,Where is the car driving?,"['on a straight road', 'on a winding road', 'off-road', 'in the water']",on a winding road
b4a465,a red sports car driving on a winding road,Is the car red?,"['no', 'yes']",yes
71c78f,blue and yellow striped t-shirt,What item of clothing is described?,"['hat', 'pants', 'scarf', 't-shirt']",t-shirt
71c78f,blue and yellow striped t-shirt,What are the colors of the t-shirt?,"['black and white', 'blue and yellow', 'green and red', 'orange and purple']",blue and yellow
71c78f,blue and yellow striped t-shirt,Does the t-shirt have stripes?,"['no', 'yes']",yes
71c78f,blue and yellow striped t-shirt,Is the t-shirt plain?,"['no', 'yes']",no
ea0bd2,a yellow submarine in a blue sea,What color is the submarine?,"['blue', 'green', 'red', 'yellow']",yellow
ea0bd2,a yellow submarine in a blue sea,Where is the submarine located?,"['in a river', 'in a lake', 'in a blue sea', 'on land']",in a blue sea
ea0bd2,a yellow submarine in a blue sea,What is the color of the water?,"['blue', 'green', 'red', 'yellow']",blue
ea0bd2,a yellow submarine in a blue sea,Is a yellow submarine depicted?,"['no', 'yes']",yes
192c4d,green and black camouflage pattern,What kind of pattern is described?,"['camouflage', 'checkered', 'striped', 'floral']",camouflage
192c4d,green and black camouflage pattern,What colors are in the pattern?,"['blue and white', 'green and black', 'red and yellow', 'orange and purple']",green and black
192c4d,green and black camouflage pattern,Is the pattern camouflage?,"['no', 'yes']",yes
192c4d,green and black camouflage pattern,Does the pattern include green?,"['no', 'yes']",yes
cbf7aa,a silver ring with a blue stone,What item of jewelry is described?,"['bracelet', 'earrings', 'necklace', 'ring']",ring
cbf7aa,a silver ring with a blue stone,What color is the ring itself?,"['gold', 'silver', 'bronze', 'copper']",silver
cbf7aa,a silver ring with a blue stone,What color is the stone on the ring?,"['blue', 'green', 'red', 'yellow']",blue
cbf7aa,a silver ring with a blue stone,Is there a stone on the ring?,"['no', 'yes']",yes
19dae8,a cityscape at night,What kind of scene is depicted?,"['forest', 'beach', 'mountain', 'cityscape']",cityscape
19dae8,a cityscape at night,What time of day is it in the image?,"['dawn', 'midday', 'dusk', 'night']",night
19dae8,a cityscape at night,Is it a rural scene?,"['no', 'yes']",no
19dae8,a cityscape at night,Is the image depicting a cityscape?,"['no', 'yes']",yes
997187,red triangles arranged in a grid,What shape are the objects?,"['circles', 'squares', 'triangles', 'rectangles']",triangles
997187,red triangles arranged in a grid,What color are the triangles?,"['blue', 'green', 'red', 'yellow']",red
997187,red triangles arranged in a grid,How are the shapes arranged?,"['randomly', 'in a spiral', 'in a grid', 'stacked']",in a grid
997187,red triangles arranged in a grid,Are the shapes red?,"['no', 'yes']",yes
08c1d6,a sandy beach with palm trees,What geographical feature is depicted?,"['desert', 'forest', 'mountain', 'sandy beach']",sandy beach
08c1d6,a sandy beach with palm trees,What kind of trees are on the beach?,"['pine trees', 'oak trees', 'palm trees', 'birch trees']",palm trees
08c1d6,a sandy beach with palm trees,Is the beach sandy?,"['no', 'yes']",yes
08c1d6,a sandy beach with palm trees,Are there palm trees present?,"['no', 'yes']",yes
d3a97d,a striped scarf with fringe,What item of clothing or accessory is described?,"['hat', 'gloves', 'scarf', 'socks']",scarf
d3a97d,a striped scarf with fringe,Does the scarf have a pattern?,"['no', 'yes']",yes
d3a97d,a striped scarf with fringe,What kind of trim does the scarf have?,"['lace', 'tassel', 'fringe', 'beaded']",fringe
d3a97d,a striped scarf with fringe,Is the scarf plain?,"['no', 'yes']",no
6a2d2d,overlapping translucent circles,What shape are the objects?,"['squares', 'triangles', 'circles', 'rectangles']",circles
6a2d2d,overlapping translucent circles,How are the circles positioned relative to each other?,"['side by side', 'overlapping', 'separate', 'in a grid']",overlapping
6a2d2d,overlapping translucent circles,What property do the circles have regarding light?,"['opaque', 'reflective', 'solid', 'translucent']",translucent
6a2d2d,overlapping translucent circles,Are the circles translucent?,"['no', 'yes']",yes
d1d86f,a brown dog sitting in grass,What animal is in the image?,"['cat', 'dog', 'horse', 'rabbit']",dog
d1d86f,a brown dog sitting in grass,What color is the dog?,"['black', 'brown', 'white', 'yellow']",brown
d1d86f,a brown dog sitting in grass,Where is the dog sitting?,"['bed', 'chair', 'grass', 'water']",grass
d1d86f,a brown dog sitting in grass,Is there a cat in the image?,"['no', 'yes']",no
08e81a,a stack of colorful books,What objects are stacked?,"['blocks', 'books', 'boxes', 'dishes']",books
08e81a,a stack of colorful books,How are the books arranged?,"['scattered', 'stacked', 'standing', 'tilted']",stacked
08e81a,a stack of colorful books,Are the books colorful?,"['no', 'yes']",yes
08e81a,a stack of colorful books,Is there a single book or a stack?,"['a single book', 'a stack']",a stack
9480da,a chess board with pieces,What game board is depicted?,"['checkerboard', 'chess board', 'go board', 'poker table']",chess board
9480da,a chess board with pieces,Are there pieces on the board?,"['no', 'yes']",yes
9480da,a chess board with pieces,What items are present with the chess board?,"['cards', 'dice', 'money', 'pieces']",pieces
9480da,a chess board with pieces,Is it a checkerboard?,"['no', 'yes']",no
